"Pathways"	"Object ID"	"Reaction-List"
P224-PWY	"P224-PWY"	R186-RXN // RXN-17805 // ADENYLYLSULFATE-REDUCTASE-RXN // SULFATE-ADENYLYLTRANS-RXN // HYDROGENSULFITE-REDUCTASE-RXN
PWY-7907	"PWY-7907"	RXN-19486 // RXN-19484 // RXN-18810 // RXN-18809 // RXN-18808 // RXN-18807 // RXN-18803 // RXN-17190 // RXN-18804 // RXN-18805
PWY-6583	"PWY-6583"	RXN-11667 // BUTYRYL-COA-DEHYDROGENASE-RXN // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7784	"PWY-7784"	METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // RXN-17760 // 1.2.7.4-RXN // ACETYLSYNCLTH-RXN
PWY-7581	"PWY-7581"	RXN-16006 // ACNEULY-RXN
P181-PWY	"P181-PWY"	RXN-16528 // RXN-16527 // RXN-16526 // RXN-13072 // RXN-13071 // RXN-13070 // RXN-13069 // RXN-13068 // GABATRANSAM-RXN // RXN-13067 // SUCCSEMIALDDEHYDROG-RXN // RXN-13065 // 1.14.13.10-RXN // R181-RXN // R162-RXN // R161-RXN // NICOTINE-DEHYDROGENASE-RXN
PWY-3641	"PWY-3641"	1.1.1.39-RXN // RXN-6002 // RXN-5921
PWY-6157	"PWY-6157"	2.3.1.184-RXN
PWY0-1576	"PWY0-1576"	R601-RXN // RXN0-5256
PWY-7428	"PWY-7428"	RXN-15142 // RXN-15141
PWY-6411	"PWY-6411"	RXN-14621 // RXN-14723 // RXN-11132 // RXN-11133
PWY8J2-20	"PWY8J2-20"	RXN-14311 // RXN-14312 // RXN8J2-80
PWY-7992	"PWY-7992"	MENAQUINONESYN-PWY // PWY-5783 // PWY-7371 // PWY-6262
PWY-6886	"PWY-6886"	CALVIN-PWY // PYRUVDEH-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // PWY-101 // PWY-6883
PWY-6154	"PWY-6154"	RXN-10016 // RXN-10018 // RXN-10019 // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605
PWY-6942	"PWY-6942"	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12769 // RXN-12768 // RXN-12767 // 2.6.1.33-RXN
PWY-6153	"PWY-6153"	RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605 // RXN-10015 // RXN-10017
PWY-7425	"PWY-7425"	DLACTDEHYDROGFAD-RXN // RXN-15138 // RXN-14536
PWY-5979	"PWY-5979"	RXN-9587 // RXN-9586 // RXN-9585 // RXN-9584 // RXN-9583 // RXN-9582 // RXN-9581
PWY-7385	"PWY-7385"	GLUCOKIN-RXN // PGLUCISOM-RXN // RXN0-7077 // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 1.1.1.8-RXN // RXN-14965 // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-7621	"PWY-7621"	RXN-16242 // RXN-16240 // RXN-16241
PWY66-201	"PWY66-201"	RXN-13089 // RXN-13088 // RXN66-147 // RXN66-146 // RXN66-145 // RXN66-144 // RXN66-142 // RXN66-141 // RXN66-105 // RXN66-104 // RXN66-103 // RXN66-101 // RXN66-83 // RXN66-81 // RXN66-62 // RXN66-61
PWY-6839	"PWY-6839"	RXN-12524 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-6130	"PWY-6130"	13-PROPANEDIOL-DEHYDROGENASE-RXN // GLYCEROL-DEHYDRATASE-RXN
PWY-5844	"PWY-5844"	RXN-9205
PWY-7440	"PWY-7440"	RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12943 // RXN-15233 // RXN-15227 // RXN-15226 // RXN-15225
PWY-7533	"PWY-7533"	RXN-15686 // RXN-15685 // RXN-15684 // RXN-15683 // RXN-15682 // RXN-15681 // RXN-15680 // RXN-15679 // RXN-15678
PWY-6883	"PWY-6883"	RXN-11667 // RXN-11662 // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // RXN-12558 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6314	"PWY-6314"	RXN-10797 // RXN-10796
PWY-7954	"PWY-7954"	RXN-19259 // RXN-19255 // RXN-19254 // RXN-19257 // RXN-19258 // RXN-19260
PWY-5850	"PWY-5850"	PWY-5853 // PWY-5837 // HEXPPSYN-PWY // PWY-5849
PWY-7541	"PWY-7541"	RXN-15744 // RXN-15729 // RXN-15724 // RXN-15743 // RXN-15728 // RXN-15723
DETOX1-PWY-1	"DETOX1-PWY-1"	DETOX1-PWY // RXN-12540 // GLUTATHIONE-PEROXIDASE-RXN // CATAL-RXN // SUPEROX-DISMUT-RXN
PWY-7673	"PWY-7673"	RXN-16744 // RXN-16743 // RXN-16742 // RXN-16741 // RXN-16740 // RXN-16739 // RXN-16738
PWY-6917	"PWY-6917"	LINOLEOYL-RXN // RXN-8497 // RXN-16219
PWY-6974	"PWY-6974"	RXN-16262 // RXN-12943 // RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12929 // RXN-12928
PWY-6330	"PWY-6330"	RXN-6161
DETOX1-PWY	"DETOX1-PWY"	CATAL-RXN // SUPEROX-DISMUT-RXN
PWY-6432	"PWY-6432"	PWY-6457 // RXN-11243 // RXN-11238 // RXN-11220 // RXN-11226 // RXN-11225 // RXN-11224 // RXN-11223 // RXN-11221
PWY-1622	"PWY-1622"	GLYOHMETRANS-RXN // MALATE-DEH-RXN // RXN-2881 // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN // GKI-RXN // RXN-2802 // HYDROXYPYRUVATE-REDUCTASE-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PEPCARBOX-RXN // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN
PWY-6949	"PWY-6949"	RXN-7021 // RXN0-2381 // RXN-6683 // RXN-6684 // RXN-6681 // RXN-6682
PWY-2261	"PWY-2261"	RXN-3523 // RXN-3522 // RXN-3521 // 1.8.5.1-RXN
PWY-5892	"PWY-5892"	RXN-9363 // RXN-9360
PWY-7695	"PWY-7695"	RXN-16931 // RXN-16930 // RXN-16929 // RXN-16928 // RXN-16927 // RXN-16926 // RXN-16925 // RXN-16924 // RXN-16923 // RXN-16922 // RXN-16921 // RXN-16920
P185-PWY	"P185-PWY"	RIBULP3EPIM-RXN // RIB5PISOM-RXN // 1TRANSKETO-RXN // TRANSALDOL-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // 2TRANSKETO-RXN // F16BDEPHOS-RXN // F16ALDOLASE-RXN // GLYCERONE-KINASE-RXN // FORMALDEHYDE-TRANSKETOLASE-RXN
PWY-6014	"PWY-6014"	RXN-9703
PWY-7814	"PWY-7814"	RXN-18003 // RXN-18004 // RXN-18005 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-5491	"PWY-5491"	RXN-8748 // RXN-8747
PWY-7297	"PWY-7297"	RXN-14645 // TYROSINE-DECARBOXYLASE-RXN
PWY-7540	"PWY-7540"	RXN-15739 // RXN-15738 // RXN-15737
PWY-7513	"PWY-7513"	RXN-15586 // RXN-15585 // RXN-9933 // RXN-9932 // RXN-9930 // RXN-9931
PWY-1861	"PWY-1861"	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // TRANSALDOL-RXN // 2TRANSKETO-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN // R12-RXN // R10-RXN
ARG+POLYAMINE-SYN	"ARG+POLYAMINE-SYN"	ARGSYN-PWY // POLYAMSYN-PWY
P483-PWY	"P483-PWY"	3.11.1.2-RXN
PWY-7958	"PWY-7958"	RXN-19283 // RXN-19282 // RXN-19264 // RXN-19268 // RXN-19272
PWY-5897	"PWY-5897"	PWY-5816 // PWY-5891 // PWY-5837
PWY0-1280	"PWY0-1280"	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN
PWY-7880	"PWY-7880"	RXN-18638 // RXN-18637 // RXN-18636 // RXN-18635 // RXN-18634 // RXN-18633 // RXN-18632 // RXN-18631 // RXN-18630 // RXN-18629 // RXN-18628
PWY-6863	"PWY-6863"	RXN-20677 // RXN-11667 // RXN-12558 // HEXANOL-RXN // RXN-12568 // RXN-12559 // RXN-12570 // RXN-12565 // PYRUFLAVREDUCT-RXN // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7634	"PWY-7634"	RXN-11671
PWY-7301	"PWY-7301"	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14668 // RXN-14667 // DTDPDEHYDRHAMEPIM-RXN
PWY-7805	"PWY-7805"	INORGPYROPHOSPHAT-RXN // ADENPRIBOSYLTRAN-RXN // RXN0-1401 // RXN0-6710 // RXN-17956 // RXN-17955 // RXN-17954 // RXN0-7014
TRYPANOSYN-PWY	"TRYPANOSYN-PWY"	6.3.1.9-RXN
PWY-5826	"PWY-5826"	RXN-15121 // RXN-15123 // RXN-15122 // RXN-9189 // RXN-9157 // RXN-9167 // RXN-9168 // RXN-9169 // RXN-9170 // RXN-9171 // RXN-9172 // RXN-9173 // RXN-9174 // RXN-9175
GLYCOL-GLYOXDEG-PWY	"GLYCOL-GLYOXDEG-PWY"	PWY0-1280 // GLYOXDEG-PWY // GLYCOLATEMET-PWY
PWY-7565	"PWY-7565"	RXN-15922 // RXN-15919 // RXN-15918 // RXN-15917
PWY4LZ-257	"PWY4LZ-257"	HYDROG-RXN // PWY-5486 // PWY-5480 // PWY-5600 // ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN // DLACTDEHYDROGNAD-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN
PWY-6007	"PWY-6007"	RXN-19692 // RXN-9684
PWY-6348	"PWY-6348"	ACID-PHOSPHATASE-RXN
P101-PWY	"P101-PWY"	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // R103-RXN // R102-RXN // R101-RXN
PWY-6648	"PWY-6648"	RXN-11764 // RXN-11763 // RXN-11762
CYCLOHEXANOL-OXIDATION-PWY	"CYCLOHEXANOL-OXIDATION-PWY"	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN
PWY-5434	"PWY-5434"	RXN-11911 // RXN-8616 // RXN-11575 // RXN-8619
MENAQUINONESYN-PWY	"MENAQUINONESYN-PWY"	ADOMET-DMK-METHYLTRANSFER-RXN
PWY-8037	"PWY-8037"	RXN-20300 // RXN-20301 // RXN-20299 // RXN-20298
PWY-6588	"PWY-6588"	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
P581-PWY	"P581-PWY"	R521-RXN
PWY-7316	"PWY-7316"	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-13755 // 2.6.1.33-RXN
PWY-7447	"PWY-7447"	RXN-15310 // RXN-15311
PWY-4121	"PWY-4121"	GSPSYN-RXN
PWY-7599	"PWY-7599"	RXN-16093 // RXN-16092 // RXN-16091 // RXN-16090 // RXN-16088 // RXN-16087 // RXN-16086 // RXN-16085 // RXN-16084 // RXN-16083 // RXN-16080 // RXN-16078 // RXN-16074 // RXN-16073 // RXN-16072
PWY-7013	"PWY-7013"	PROPKIN-RXN // RXN-13198 // PTAALT-RXN // RXN-12736 // PROPANEDIOL-DEHYDRATASE-RXN
PWY-5506	"PWY-5506"	CATAL-RXN // METHANOL-OXIDASE-RXN
PWY-6604	"PWY-6604"	PWY-6594 // PWY-6590
PWY-5393	"PWY-5393"	RXN-8459 // RXN-8458
PWY-6832	"PWY-6832"	RXN-12513 // 2.6.1.37-RXN
PWY-6173	"PWY-6173"	HISTIDINE-DECARBOXYLASE-RXN
PWY-7991	"PWY-7991"	RXN-19530 // RXN-19529 // RXN-19531 // GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // RIBOPHOSPHAT-RXN
PWY-6263	"PWY-6263"	PWY-7374 // PWY-6262 // MENAQUINONESYN-PWY // PWY-5783
PWY66-389	"PWY66-389"	RXN66-482 // RXN66-480 // RXN66-479 // RXN66-478
PWY-8095	"PWY-8095"	RXN-17122 // RXN-17123 // RXN-17124
PWY-8049	"PWY-8049"	RXN-20500 // RXN-20499 // RXN-20498 // RXN-20495 // RXN-20494 // RXN-20493 // RXN-20492 // RXN-20491 // RXN-20490 // RXN-20489 // RXN-20488 // RXN-20487 // RXN-20486 // RXN-20485
PWY-7351	"PWY-7351"	BETA-ALANOPINE-DEHYDROGENASE-RXN // TAUROPINE-DEHYDROGENASE-RXN // STROMBINE-DEHYDROGENASE-RXN // ALANOPINE-DEHYDROGENASE-RXN // 1.5.1.11-RXN
PWY-1723	"PWY-1723"	RXN-2884 // 3.5.4.27-RXN // RXN-2883 // RXN-2882
PWY-743	"PWY-743"	RXN-1901 // RXN-1761
PWY-7413	"PWY-7413"	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14707 // RXN-15048
PWY-8097	"PWY-8097"	RXN-17122
PWY-6565	"PWY-6565"	PWY-6562 // PWY-6559
PHOSPHONOTASE-PWY	"PHOSPHONOTASE-PWY"	ACETALD-DEHYDROG-RXN // PHOSPHONOACETALDEHYDE-HYDROLASE-RXN // 2.6.1.37-RXN
PWY-5955	"PWY-5955"	RXN-9491 // RXN-9490 // RXN-9493 // RXN-9492 // RXN-9489 // RXN-9494 // RXN-9488 // RXN-9487 // RXN-9486
PWY-6464	"PWY-6464"	RXN-11316 // RXN-11317
PWY-8096	"PWY-8096"	RXN-17122 // RXN-17123
PWY-6966	"PWY-6966"	RXN-2861
CENTFERM-PWY	"CENTFERM-PWY"	RXN-11667 // BUTYRYL-COA-DEHYDROGENASE-RXN // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6312	"PWY-6312"	RXN-10754 // RXN-10753 // RXN-10735 // RXN-10748 // RXN-10734
PWY-7909	"PWY-7909"	FORMYLTHFDEFORMYL-RXN // RXN-2881 // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY0-662	"PWY0-662"	PRPPSYN-RXN
PWY-7729	"PWY-7729"	RXN-17122 // RXN-17123 // RXN-17124 // RXN-17125
GLYCGREAT-PWY	"GLYCGREAT-PWY"	GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN // GLYCINE-AMIDINOTRANSFERASE-RXN
PWY-6662	"PWY-6662"	PWY-6661 // PWY-6660
PWY-5840	"PWY-5840"	PWY-5839 // PWY-5807 // PWY-5837
PWY-5523	"PWY-5523"	RXN-8771 // FMNREDUCT-RXN // RIBOFLAVINKIN-RXN
PWY-7672	"PWY-7672"	RXN-16721 // RXN-16720 // RXN-16719 // RXN-16718 // RXN-16717
PWY-6594	"PWY-6594"	PWY-6588 // PWY-6587 // PWY-6583
FORMASS-PWY	"FORMASS-PWY"	FORMALDEHYDE-DEHYDROGENASE-RXN
PWY-6261	"PWY-6261"	RXN-10619 // RXN-10618 // RXN-10617 // RXN-10616 // RXN-10615 // RXN-10614 // RXN-10613 // RXN-10612 // RXN-10611 // RXN-10610 // RXN-10609 // RXN-10608 // RXN-10607 // RXN-10606 // THYROXINE-DEIODINASE-RXN
POLYAMSYN-PWY	"POLYAMSYN-PWY"	PWY0-1303 // BSUBPOLYAMSYN-PWY // PWY-46 // PWY-40
PWY-7153	"PWY-7153"	RXN-13869 // RXN-15414 // RXN-13868 // RXN-13867 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-1701	"PWY-1701"	PWY-6967 // PWY-6966
PWY-7111	"PWY-7111"	RXN-7657 // RXN-7643 // DIHYDROXYISOVALDEHYDRAT-RXN // ACETOLACTREDUCTOISOM-RXN // ACETOLACTSYN-RXN
PWY-7692	"PWY-7692"	RXN-16888 // RXN-16887 // RXN-16886 // RXN-16885 // RXN-16884 // RXN-16883 // RXN-16882
PWY-7392	"PWY-7392"	4.2.3.17-RXN // PWY-5120 // NONMEVIPP-PWY // PWY-5123
PWY-7908	"PWY-7908"	RXN-18815 // RXN-18814 // RXN-18813
PWY-7407	"PWY-7407"	RXN-17356 // RXN-17336 // RXN-17334 // RXN-15022 // RXN-15021 // AMINOBENZCOALIG-RXN // RXN-15028 // RXN-15027 // RXN-15030 // RXN-15029 // RXN-15026
PWY-7682	"PWY-7682"	RXN-16817 // RXN-16816 // RXN-16815 // RXN-16814 // RXN-16813 // RXN-16812 // RXN-16811 // RXN-16810 // RXN-16808 // RXN-16807 // RXN-16806
PWY-6158	"PWY-6158"	CREATINE-KINASE-RXN
PWY-7751	"PWY-7751"	RXN-17896 // RXN-17895 // RXN-17370 // RXN-17372 // ENTF-RXN // RXN-17368 // RXN-17367 // RXN-17366
PWY-2981	"PWY-2981"	RXN-7788 // RXN-15440 // RXN-15439 // RXN-15438 // RXN-15437 // RXN-9291 // RXN-8528 // RXN-4881 // RXN-4884 // RXN-4883 // RXN-4882 // 5.5.1.13-RXN
PWY-7405	"PWY-7405"	AMINOBENZCOALIG-RXN // RXN-15024 // RXN-15023 // RXN-15022 // RXN-15021
PWY-7998	"PWY-7998"	RXN-19670 // NADH-DEHYDROGENASE-QUINONE-RXN // RXN-19669
PWY-6627	"PWY-6627"	CHORISMATEMUT-RXN // RXN-11725 // RXN-11724 // RXN-11723 // RXN-11722 // RXN-11721 // RXN-11720 // RXN-11719 // RXN-11718 // RXN-11717 // RXN-11716 // RXN-11712 // RXN-11714 // RXN-11715 // RXN-11713
PWY-6590	"PWY-6590"	P142-PWY // CENTFERM-PWY
PWY-1801	"PWY-1801"	RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN
PWY-7484	"PWY-7484"	RXN-18946 // RXN-18945 // RXN-18942 // RXN-18941 // RXN-15463 // RXN-15462 // RXN-15445 // RXN-15444 // RXN-15433 // RXN-15432 // RXN-12884
PWY-7100	"PWY-7100"	RXN-13634 // RXN-13633 // RXN-13632 // RXN-13631 // RXN-13630 // RXN-13629 // RXN-13628 // RXN-13627 // RXN-13626 // RXN-13625
PWY-6260	"PWY-6260"	RXN-12037 // RXN-12036 // RXN-12035 // RXN-12034 // RXN-12033 // RXN-12032 // RXN-12031 // RXN-12030 // RXN-10605 // RXN-10604 // 1.97.1.11-RXN // THYROXINE-DEIODINASE-RXN
PWY-8104	"PWY-8104"	RXN-21009 // RXN-21008 // RXN-21007
PWY-116	"PWY-116"	CONIFERIN-BETA-GLUCOSIDASE-RXN // 2.4.1.111-RXN
2AMINOBENZDEG-PWY	"2AMINOBENZDEG-PWY"	AMBENCOATHAUERA-RXN // AMINOBENZCOALIG-RXN
PWY-6562	"PWY-6562"	R101-RXN // 4.1.1.86-RXN // RXN-9380 // RXN-11565 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-8047	"PWY-8047"	RXN-20482 // RXN-20481 // RXN-20480 // RXN-20477 // RXN-20476 // RXN-20475 // RXN-20474 // RXN-20473 // RXN-20472 // RXN-20471 // RXN-20470 // RXN-20469 // RXN-20468 // RXN-20467 // RXN-20466 // RXN-20465 // RXN-20464 // RXN-20463 // RXN-20460
PWY-5660	"PWY-5660"	RXN-11851 // RXN-8861 // RXN-8865 // RXN-8859 // RXN-8857 // 2.3.1.167-RXN // 2.3.1.166-RXN // RXN-8855 // 4.2.3.17-RXN // 1.14.99.37-RXN // 2.3.1.162-RXN // 1.14.13.76-RXN // 1.14.13.77-RXN
PWY-5726	"PWY-5726"	R464-RXN // R465-RXN
PWY-6510	"PWY-6510"	METHANOL-DEHYDROGENASE-RXN
PWY-6389	"PWY-6389"	RXN-11032 // RXN-6081 // ACETOLACTSYN-RXN
PWY1G-170	"PWY1G-170"	RXN-6581 // 1.2.1.66-RXN // RXN1G-129
PWY-7680	"PWY-7680"	RXN-18881 // RXN-18880 // RXN-4861 // RXN-13338 // RXN-16785 // RXN-16786
PWY-12	"PWY-12"	RXN-11
PWY-5171	"PWY-5171"	RXN-8020 // RXN-8019 // RXN-8018
PWY-5882	"PWY-5882"	RXN-9312 // RXN-12954 // RXN-11264 // RXN-9335 // RXN-9334
PWY-6504	"PWY-6504"	RXN-10724
PWY0-1303	"PWY0-1303"	LYSDECARBOX-RXN // RXN0-5217
ECASYN-PWY	"ECASYN-PWY"	TRANS-RXN0-279 // PWY-7335 // PWY-7315 // GLCNACPTRANS-RXN // FUC4NACTRANS-RXN // UDPMANACATRANS-RXN
PWY-6645	"PWY-6645"	RXN-11775 // RXN-11773 // RXN-11774 // RXN-11772
PWY-5849	"PWY-5849"	RXN-9220
PWY-5170	"PWY-5170"	RXN-8017 // RXN-8016 // RXN-8015
PWY-7563	"PWY-7563"	RXN-15899 // RXN-15898 // RXN-15897 // RXN-15896 // RXN-15895 // RXN-15894
PWY-5939	"PWY-5939"	ACETOLACTATE-DECARBOXYLASE-RXN // ACETOLACTSYN-RXN
CITRULBIO-PWY	"CITRULBIO-PWY"	RXN-14903 // GLUTSEMIALDEHYDROG-RXN // GLUTKIN-RXN // ORNCARBAMTRANSFER-RXN // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // SPONTPRO-RXN // ARGINASE-RXN // GLUTAMIN-RXN
PWY18C3-13	"PWY18C3-13"	RXN-13770 // RXN-11772
PWY-6466	"PWY-6466"	RXN-11322
P141-PWY	"P141-PWY"	R123-RXN // R122-RXN // 3.8.1.8-RXN
PWY-6835	"PWY-6835"	RXN-12527
PWY-83	"PWY-83"	RXN-95 // RXN-92 // RXN-91 // RXN-90
PWY-6079	"PWY-6079"	1.14.12.1-RXN
ARGSPECAT-PWY	"ARGSPECAT-PWY"	SAMDECARB-RXN // SPERMINE-SYNTHASE-RXN
PWY-6887	"PWY-6887"	5.5.1.13-RXN // RXN-12597 // RXN-12602 // RXN-12601 // RXN-12600 // RXN-12599 // RXN-12598 // RXN-12593 // PWY-5032
PWY-5731	"PWY-5731"	RXN-8938 // 3.8.1.8-RXN
PWY-6509	"PWY-6509"	RXN-11451
PWY-5938	"PWY-5938"	RXN-11036 // RXN-6081 // ACETOLACTSYN-RXN
PWY-6310	"PWY-6310"	RXN-10732 // RXN-10731 // RXN-10730 // RXN-10733 // RXN-10729 // RXN-10725
PWY18C3-7	"PWY18C3-7"	RXN18C3-23 // RXN18C3-22 // RXN18C3-21 // RXN18C3-20
PWY-5004	"PWY-5004"	PWY-4983 // PWY-4984 // CITRULBIO-PWY
PWY-5727	"PWY-5727"	R461-RXN // R462-RXN
PWY-7643	"PWY-7643"	RXN-16476
URSIN-PWY	"URSIN-PWY"	PWY-5691 // PWY-5695
PWY-6077	"PWY-6077"	ANTHRANILOYL-COA-MONOOXYGENASE-RXN // AMINOBENZCOALIG-RXN
KDOSYN-PWY	"KDOSYN-PWY"	KDOTRANS2-RXN // KDOTRANS-RXN
PWY-7071	"PWY-7071"	RXN-13521 // RXN-13520 // RXN-13518 // RXN-13517 // RXN-13516 // RXN-13515 // RXN-13514 // RXN-13513 // RXN-13512 // RXN-13511
PWY-5891	"PWY-5891"	RXN-9362 // RXN-9359
PWY-5724	"PWY-5724"	PWY-5169 // P141-PWY
PWY-6316	"PWY-6316"	RXN-7822 // NARINGENIN-CHALCONE-SYNTHASE-RXN
PWY3O-440	"PWY3O-440"	RXN-6161 // RXN3O-470 // RXN0-2022
PWY-7482	"PWY-7482"	RXN-15429 // RXN-15431 // RXN-15430
PYRIDOXSYN-PWY	"PYRIDOXSYN-PWY"	RXN-13179 // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PNPOXI-RXN
PWY-8103	"PWY-8103"	RXN-20966 // RXN-20965 // RXN-20999 // RXN-20998
POLYAMINSYN3-PWY	"POLYAMINSYN3-PWY"	SPERMINE-SYNTHASE-RXN // PWY-43 // PWY-46 // BSUBPOLYAMSYN-PWY
PWY-6302	"PWY-6302"	RXN-10710 // RXN-10709
PWY-5380	"PWY-5380"	RXN-8440 // RXN-8439 // RXN-8438
PWY-5121	"PWY-5121"	PWY-5120 // PWY-5123 // NONMEVIPP-PWY
PWY-7689	"PWY-7689"	RXN-16867 // RXN-16866 // RXN-16865 // RXN-16864 // RXN-16863 // RXN-16862 // RXN-16861 // RXN-16860 // RXN-16859 // RXN-16858 // RXN-16857 // RXN-16856 // RXN-16855
PWY-7572	"PWY-7572"	RXN-15968 // RXN-15961 // RXN-15967 // RXN-15966 // RXN-15965 // RXN-15964 // RXN-15963 // RXN-15962 // RXN-15960 // RXN-15959 // RXN-15958 // RXN-15957 // RXN-15956 // RXN-15955 // RXN-15735
PWY18C3-25	"PWY18C3-25"	RXN-20310 // RXNQT-4366 // RXN18C3-56 // RXN18C3-58 // PWY18C3-22
PWY-5907	"PWY-5907"	2.5.1.45-RXN
PWY-7676	"PWY-7676"	RXN-16750 // RXN-16749
PWY-5379	"PWY-5379"	RXN-8437 // RXN-8436 // RXN-8435
PWY-5896	"PWY-5896"	PWY-5806 // PWY-5890 // PWY-5837
PWY-6304	"PWY-6304"	CASBENE-SYNTHASE-RXN
PWY-6438	"PWY-6438"	RXN-11256 // RXN-11248 // RXN-11247 // RXN-11220 // RXN-11253 // RXN-11255 // RXN-11254 // RXN-11251
PWY-7994	"PWY-7994"	5.5.1.13-RXN // RXN-19635 // RXN-19638 // RXN-19637 // RXN-19636
PLPSAL-PWY	"PLPSAL-PWY"	PYRIDOXKIN-RXN // PMPOXI-RXN // PNPOXI-RXN // PYRAMKIN-RXN // PNKIN-RXN
PWY-6801	"PWY-6801"	RXN-18671 // RXN-18670 // RXN-18669 // RXN-18668 // RXN-18667 // RXN-6724 // RXN-12362
PWY-361	"PWY-361"	RXN-2602 // 1.14.13.36-RXN // RXN-2622 // RXN-2621 // 2.3.1.133-RXN // RXN-2601 // RXN-2581 // RXN-1143 // RXN-1142 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-1125 // RXN-1102 // RXN-1106 // RXN-1101 // 4-COUMARATE--COA-LIGASE-RXN
PWY-6456	"PWY-6456"	RXN-11306 // RXN-11305
PWY-5054	"PWY-5054"	PGLUCISOM-RXN // SORBITOL-6-PHOSPHATASE-RXN // ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN
PWY-6691	"PWY-6691"	FARNESYLTRANSTRANSFERASE-RXN // RXN-10627 // RXN-10626
